model,prompt_id,location_id,layer,kv,local_group,severity,magnitude_class,layer_band,manifest_z,reconstructed_z,z_reconstruction_abs_error,encoding,bit,clean_word,fault_word,raw_scale,encoded_clean_scale,fault_scale,fault_scale_valid,scale_amplification,clean_group_equal_raw,clean_reference_source,local_write_changed,cache_readback_pass,fault_logits_finite,fault_vs_clean_top1_same,fault_vs_clean_kl,fault_vs_clean_maxlogit,fault_vs_clean_meanlogit,fault_vs_raw_top1_same,fault_vs_raw_kl,fault_vs_raw_maxlogit,fault_vs_bf16_top1_same,fault_vs_bf16_kl,fault_vs_bf16_maxlogit
LLAMA31_8B,0,0,0,K,433,HIGH,LOW_Z,EARLY,-1.1926450779423958,-1.1926450779423958,0.0,BINARY32_Z,31,3169512702,1022029054,0.4375,0.4375000000921638,0.0017089843731535668,True,256.00000033051833,True,FULL_RAW_INT4,True,True,True,True,0.0015243422240018845,0.1875,0.02683858945965767,True,0.0015243422240018845,0.1875,True,0.002519532572478056,0.875
LLAMA31_8B,0,1,0,K,323,MEDIUM,HIGH_Z,EARLY,-0.19264507794239588,-0.19264507794239588,0.0,BINARY32_Z,16,3437948158,3438013694,0.875,0.8750000003255403,0.8751480850677693,True,1.0001692397053417,True,FULL_RAW_INT4,False,True,True,True,0.0,0.0,0.0,True,0.0,0.0,True,0.0044092461466789246,0.84375
LLAMA31_8B,0,2,1,V,426,LOW,LOW_Z,EARLY,-4.521952650277618,-4.521952703195356,5.291773774729336e-08,BINARY32_Z,0,2275808492,2275808493,0.04352678571428571,0.04352678576177838,0.043526785874172136,True,1.0000000025821745,True,FULL_RAW_INT4,False,True,True,True,0.0,0.0,0.0,True,0.0,0.0,True,0.0044092461466789246,0.84375
LLAMA31_8B,0,3,2,V,140,HIGH,HIGH_Z,EARLY,-3.4323155404406034,-3.432315490710679,4.972992417862088e-08,BINARY32_Z,31,2568305754,420822106,0.09263392857142858,0.0926339286869046,0.00036185128346603954,True,256.00000033051833,True,FULL_RAW_INT4,True,True,True,True,0.0005203808541409671,0.1875,0.021212056279182434,True,0.0005203808541409671,0.1875,True,0.005786960944533348,0.8125
LLAMA31_8B,0,4,11,K,8,MEDIUM,LOW_Z,MIDDLE,-1.3979639373600958,-1.3979639859199025,4.855980662021864e-08,BINARY32_Z,16,3114397827,3114332291,0.3794642857142857,0.37946428547629535,0.3794000759192402,True,1.0001692397053417,True,FULL_RAW_INT4,False,True,True,True,0.0,0.0,0.0,True,0.0,0.0,True,0.0044092461466789246,0.84375
LLAMA31_8B,0,5,12,K,241,LOW,HIGH_Z,MIDDLE,-0.04580368961312479,-0.04580368961312479,0.0,BINARY32_Z,0,3477365593,3477365592,0.96875,0.9687500002937207,0.9687499977922391,True,1.0000000025821747,True,FULL_RAW_INT4,False,True,True,True,0.0,0.0,0.0,True,0.0,0.0,True,0.0044092461466789246,0.84375
LLAMA31_8B,0,6,11,V,80,HIGH,LOW_Z,MIDDLE,-3.841570593367959,-3.841570637395517,4.402755804377989e-08,BINARY32_Z,31,2458447162,310963514,0.06975446428571429,0.06975446435377704,0.0002724783760301482,True,256.00000033051833,True,FULL_RAW_INT4,True,True,True,True,0.0005081246490590274,0.125,0.019960273057222366,True,0.0005081246490590274,0.125,True,0.005623647011816502,0.875
LLAMA31_8B,0,7,11,V,222,MEDIUM,HIGH_Z,MIDDLE,-3.0794344285549373,-3.079434467494405,3.893946765032297e-08,BINARY32_Z,16,2663031532,2663097068,0.11830357142857142,0.11830357146645495,0.1183235931280308,True,1.0001692397053417,True,FULL_RAW_INT4,False,True,True,True,0.0,0.0,0.0,True,0.0,0.0,True,0.0044092461466789246,0.84375
LLAMA31_8B,0,8,21,K,18,LOW,LOW_Z,LATE,-1.415037499278844,-1.415037499278844,0.0,BINARY32_Z,0,3109814691,3109814690,0.375,0.3750000000969053,0.3749999991285899,True,1.0000000025821745,True,FULL_RAW_INT4,False,True,True,True,0.0,0.0,0.0,True,0.0,0.0,True,0.0044092461466789246,0.84375
LLAMA31_8B,0,9,23,K,263,HIGH,HIGH_Z,LATE,-0.012939092892936647,-0.012939055707498098,3.718543854953904e-08,BINARY32_Z,31,3486187626,1338703978,0.9910714285714286,0.9910714289060154,0.0038713727641658427,True,256.00000033051833,True,FULL_RAW_INT4,True,True,True,True,0.0001063412637449801,0.3125,0.037729762494564056,True,0.0001063412637449801,0.3125,True,0.004983588121831417,0.8125
