item_id,phase,path,status,authoritative_replacement,reason,paper_use
S01,P3B1,D:\metakv\method_upgrade_m55\output\final_evidence_audit\full_evidence_extract\h800_final_experiments\P3_REAL_MODEL\P3B1_LLAMA31_8B_MATCHED_LOGIT_20260904_000538,SUPERSEDED,P3B1-R1,Noncontiguous reshape write caused invalid injection with no effect,Do not use comparative result
S02,P5A,D:\metakv\method_upgrade_m55\output\final_evidence_audit\full_evidence_extract\h800_final_experiments\P5_CODEC_AUDIT\P5A_CODEC_EQUIVALENCE_20260904_004055,DIAGNOSTIC,P5A-2B-R2 and P5A-3,Discovery stage did not prove canonical equivalence,Provenance narrative only
S03,P5A-1B,D:\metakv\method_upgrade_m55\output\final_evidence_audit\full_evidence_extract\h800_final_experiments\P5_CODEC_AUDIT\P5A_1B_FORENSIC_20260904_005113,DIAGNOSTIC,P5A-2B-R2,Candidate discovery only,Do not use as bridge
S04,P5A-2A,D:\metakv\method_upgrade_m55\output\final_evidence_audit\full_evidence_extract\h800_final_experiments\P5_CODEC_AUDIT\P5A_2A_SOURCE_SEMANTICS_20260904_005424,DIAGNOSTIC,P5A-2B-R2,Static source audit; equivalence not yet proven,Do not use as final bridge
S05,P5A-2B-R1,D:\metakv\method_upgrade_m55\output\final_evidence_audit\full_evidence_extract\h800_final_experiments\P5_CODEC_AUDIT\P5A_2B_R1_P1E_BRIDGE_20260904_010005,FAILED/SUPERSEDED,P5A-2B-R2,Nonessential interval-translation word-exact gate produced false failure,Retain as repair provenance only
S06,P6B1 Binary32-Z,D:\metakv\method_upgrade_m55\output\final_evidence_audit\full_evidence_extract\h800_final_experiments\P6_FULL_CACHE\P6B1_FULL_CACHE_STRATIFIED_FAULT_20260904_013020,SUPERSEDED BRANCH,P6B2 corrected Binary32-Z,Old branch drifted to IEEE float32 z semantics,Retain FP32 and HA-FBMS branches only
S07,P7A initial,D:\metakv\method_upgrade_m55\output\final_evidence_audit\full_evidence_extract\h800_final_experiments\P7_QWEN3_32B\P7A_QWEN3_32B_REAL_KV_20260904_014053,SUPERSEDED,P7A-R1,Selected derived/incomplete FP8-KV-calibrated model directory,Do not use model provenance or metrics
S08,P7B initial,D:\metakv\method_upgrade_m55\output\final_evidence_audit\full_evidence_extract\h800_final_experiments\P7_QWEN3_32B\P7B_QWEN3_32B_SCALE_SCREEN_20260904_014826,SUPERSEDED COMPARISON,P7B-R2,Binary32-Z implementation drift,HA and FP32 may be historical checks; final comparison must use R2
S09,P7B-R1,D:\metakv\method_upgrade_m55\output\final_evidence_audit\full_evidence_extract\h800_final_experiments\P7_QWEN3_32B\P7B_R1_BINARY_BASELINE_RECOVERY_20260904_015008,DIAGNOSTIC,P7B-R2,Recovered semantics but did not execute exact final replay,Provenance only
S10,H800 P1E-R2 R1-R6,D:\metakv\method_upgrade_m55\output\final_evidence_audit\full_evidence_extract\h800_final_experiments\H800_P1E_R2\freeze,FAILED/DIAGNOSTIC,Original H800 P1E authoritative for timing; R7-R9 diagnostics do not replace it,Multiple OOM/exit-137/patch failures; R6 final pass false,Do not combine rows or claim successful R2 timing
S11,H800 R7 initial,D:\metakv\method_upgrade_m55\output\final_evidence_audit\full_evidence_extract\h800_final_experiments\H800_P1E_R2\P1E_R2_R7_COMPONENT_20260903_233649,FAILED/SUPERSEDED,R7-R1 repaired component diagnostic,Triton constexpr reassignment,Diagnostic provenance only
S12,H800 R7-R1 initial status,D:\metakv\method_upgrade_m55\output\final_evidence_audit\full_evidence_extract\h800_final_experiments\H800_P1E_R2\P1E_R2_R7R1_COMPONENT_20260903_233926,STATUS SUPERSEDED,H800_R7_R1_FINAL_STATUS_REPAIRED.txt,Status-only structural gate repair; no GPU rerun,Use repaired status
S13,H800 R9,D:\metakv\method_upgrade_m55\output\final_evidence_audit\full_evidence_extract\h800_final_experiments\H800_P1E_R2\P1E_R2_R9_SASS_AUDIT_20260903_234902,INCOMPLETE DIAGNOSTIC,None; no causal root-cause claim,cuobjdump/nvdisasm unavailable; zero of six static records,State attribution remains unresolved
S14,AMD P2B pre-R1,E:\metakv\audit_4060ti_return_20260903\AMD_GFX942_FINAL_FREEZE_EXTRACTED\MetaKV_AMD_GFX942_FINAL_FREEZE_20260902_161139\p2b_rocm_triton_gate_r1\P2B_PRE_R1_FINAL_STATUS.txt,FAILED/SUPERSEDED,P2B-R1,Signed int32 versus unsigned uint32 metadata-word portability,Repair provenance only
