formula_id,manuscript_equation,semantic_description,source_script,source_lines_or_function,validated_against,status,limitations
F01,s=maxabs/7,G32 INT4 scale definition,D:\metakv\method_upgrade_m55\output\final_evidence_audit\full_evidence_extract\h800_final_experiments\P3_REAL_MODEL\P3A_LLAMA31_8B_20260903_235315\freeze\p3a_llama31_8b_clean_semantic.py,"quantize_tensor_groupwise_int4, lines 402 onward",P3/P4/P7 scale records,PASS,groupwise signed INT4 payload
F02,z=log2(s),log-scale input,D:\metakv\method_upgrade_m55\output\final_evidence_audit\full_evidence_extract\h800_final_experiments\P3_REAL_MODEL\P3A_LLAMA31_8B_20260903_235315\freeze\p3a_llama31_8b_clean_semantic.py,encode_fbms input; real log-scale collection,P3A/P4A/P7A-R1,PASS,requires s>0
F03,E_HA(z)=T(c) OR (f<<Bc),"HA-FBMS encode with clipped u, floor coarse, np.rint fine, endpoint override",D:\metakv\method_upgrade_m55\output\final_evidence_audit\full_evidence_extract\h800_final_experiments\P3_REAL_MODEL\P3A_LLAMA31_8B_20260903_235315\freeze\p3a_llama31_8b_clean_semantic.py,encode_fbms lines 150-274,P4A fbms_encode; P7A-R1 encode_z; P7B-R2 ha_encode; P5A-2B-R2 bridge,PASS,np.rint ties-to-even
F04,D_HA(w)=zmin+W/(Bc+1)*(popcount(coarse)+fine/Fmax),HA-FBMS decode,D:\metakv\method_upgrade_m55\output\final_evidence_audit\full_evidence_extract\h800_final_experiments\P3_REAL_MODEL\P3A_LLAMA31_8B_20260903_235315\freeze\p3a_llama31_8b_clean_semantic.py,decode_fbms lines 277-358,P4A fbms_decode; P7A-R1 decode_z; P7B-R2 ha_decode; P5 bridge,PASS,coarse corruption decodes by popcount
F05,E_BZ(z)=rint((z-zmin)/W*(2^32-1)),corrected Binary32-Z encode,D:\metakv\method_upgrade_m55\output\final_evidence_audit\full_evidence_extract\h800_final_experiments\P7_QWEN3_32B\P7B_R2_EXACT_BASELINES_20260904_015218\freeze\p7b_r2_exact_baselines.py,binary32_encode lines 75-114,P6B2 corrected worker; P7B-R2,PASS,uniform unsigned; not IEEE float z
F06,D_BZ(q)=zmin+q/(2^32-1)*W,corrected Binary32-Z decode,D:\metakv\method_upgrade_m55\output\final_evidence_audit\full_evidence_extract\h800_final_experiments\P7_QWEN3_32B\P7B_R2_EXACT_BASELINES_20260904_015218\freeze\p7b_r2_exact_baselines.py,binary32_decode lines 117-143,P6B2/P7B-R2 outputs,PASS,calibrated interval dependent
F07,"A=max(s_fault/s, s/s_fault)",symmetric multiplicative amplification,D:\metakv\method_upgrade_m55\output\final_evidence_audit\full_evidence_extract\h800_final_experiments\P7_QWEN3_32B\P7A_R1_QWEN3_32B_REAL_KV_20260904_014442\freeze\p7a_r1_qwen3_32b_real_kv.py,logical fault loop lines 1150-1238,P7B-R2 amp_stats; P3/P4 screens,PASS,finite positive scales only; invalid separate
F08,|zhat-z|<=W/[2(Bc+1)Fmax],clean round-to-nearest log-error bound,D:\metakv\method_upgrade_m55\output\final_evidence_audit\full_evidence_extract\h800_final_experiments\P3_REAL_MODEL\P3A_LLAMA31_8B_20260903_235315\freeze\p3a_llama31_8b_clean_semantic.py,clean_log2_bound lines 361-395,P4A theorem_bound; P7A-R1 lines 1072-1103,PASS,z inside calibrated interval
F09,"A(s,s_fault)<=2^[W/(Bc+1)+epsilon_z]",configuration-specific logical one-bit construction bound,D:\metakv\method_upgrade_m55\output\final_evidence_audit\full_evidence_extract\h800_final_experiments\P3_REAL_MODEL\P3A_LLAMA31_8B_20260903_235315\freeze\p3a_llama31_8b_clean_semantic.py; D:\metakv\method_upgrade_m55\output\final_evidence_audit\full_evidence_extract\h800_final_experiments\P7_QWEN3_32B\P7A_R1_QWEN3_32B_REAL_KV_20260904_014442\freeze\p7a_r1_qwen3_32b_real_kv.py,encode/decode and popcount semantics,P5 bridge equivalence; P7A exhaustive screen,PASS,analytic construction property; not hardware or semantic guarantee
F10,"|shat-s|/max(s,tiny64)",relative scale reconstruction error,D:\metakv\method_upgrade_m55\output\final_evidence_audit\full_evidence_extract\h800_final_experiments\P7_QWEN3_32B\P7A_R1_QWEN3_32B_REAL_KV_20260904_014442\freeze\p7a_r1_qwen3_32b_real_kv.py,lines 1116-1146,P3A/P4A/P7A summaries,PASS,finite positive real scale
