claim_id,claim_text_safe,supporting_evidence,support_level,allowed_section,limitations,forbidden_stronger_claim
C01,The generalized SBL/HA-FBMS codec satisfies the tested clean-error and single-bit amplification bounds.,N1; P5A-2B-R2,direct,Method/validation,tested codec and intervals,universal semantic invariance
C02,N3 provides frozen representations and locally searched mappings for the stated objectives.,N3B0; N3B1C,direct,Method,pairwise-swap multistart local search,global mapping optimum
C03,HBM2 observations show strong position heterogeneity across the six-chip corpus.,M3D,corpus characterization,Hardware corpus,union-presence primary metric,HBM BER or simultaneous multibit probability
C04,Cross-technology mappings are evaluated using domain-relative reference ratios.,M3F-R1; M3G,direct,Mapping,DDR and HBM absolute objectives differ,direct absolute DDR/HBM comparison
C05,"On RTX5080 and RTX4060Ti, the largest tested workload shows no measurable additional mapped-SBL latency under the paired-block protocol.",P1E RTX5080; P1F RTX4060Ti,direct with CI,Performance,all largest-workload CIs cross zero; kernel-only,acceleration or end-to-end latency improvement
C06,The same representation and software mapping logic executes correctly on AMD gfx942.,P2B-R1; P2C,direct,Portability,uint32 portability correction,cross-vendor performance portability
C07,AMD gfx942 performance is strongly backend-dependent for this kernel implementation.,P2C,direct,Performance/limitations,software stack and kernel implementation specific,AMD hardware is intrinsically unsuitable
C08,"Deployment-calibrated HA-FBMS configurations show bounded metadata-fault amplification across Llama-3.1-8B, Qwen3-14B and Qwen3-32B.",P3/P4/P7A-R1/P7B-R2,direct,Scale-up,"same codec family, not exact frozen N3 representations",identical N3 configuration across models
C09,Clean HA metadata adds no observed logit perturbation relative to raw INT4 in the tested full-cache one-step replays.,P6A1; P7C,observed,Full-cache,raw INT4 still differs from BF16,mathematical codec error equals zero
C10,Corrected Binary32-Z is a same-width conventional baseline defined by uniform unsigned 32-bit quantization of log2(scale).,P6B2; P7B-R2; P7D1,direct,Baselines,"new baseline, not historical N3",IEEE float z or historical N3 representation
C11,"In selected full-cache fault replays, HA-FBMS kept all tested scales valid and amplification below 2.",P6B1 retained HA branch; P7D1,selected stress evidence,Fault evaluation,pre-frozen targets; logical bit flips,hardware fault probability or real HBM BER
C12,"P7 extends the evidence to a 32.76B-parameter Qwen3 model with 507,904 real scale groups.",P7A-R1 through P7D1,direct,Scale-up,8 prompts; one-step replay,full quantized generation or end-to-end latency
C13,The fixed permutation is a software-emulated logical-to-physical metadata layout.,P1/P2 status files,direct scope,Method/limitations,no controller-level placement,physical HBM/DRAM lane placement
C14,Semantic injection results quantify responses at localized target groups in a full-cache context.,P3B/P4B/P6B/P7D,direct,Fault evaluation,localized metadata targets,full INT4 KV-cache end-to-end inference
