evidence_id,phase,platform,model,authoritative_path,authoritative_file,superseded_alternatives,paper_usage,notes
E-M1,M1,CPU,DDR corpus,E:\metakv\full_extract_20260903\metakv\method_upgrade_m55\m55m_hardware_fault_maps\m55m1_strict_word_faults,M5.5M1_FINAL_STATUS.txt,none,DDR characterization,128 JSON corpus files
E-M2,M2,CPU,DDR maps,E:\metakv\full_extract_20260903\metakv\method_upgrade_m55\m55m_hardware_fault_maps\m55m2_empirical_maps,M5.5M2_FINAL_STATUS.txt,none,DDR geometry,32 unpooled scenarios
E-N0,N0,CPU,objective kernel,E:\metakv\full_extract_20260903\metakv\method_upgrade_m55\m55n0_ha_fbms_objective_kernel,M5.5N0_FINAL_STATUS.txt,none,theory/objective,9 mappings
E-N1,N1,CPU,true codec,E:\metakv\full_extract_20260903\metakv\method_upgrade_m55\m55n1_true_codec_validation,M5.5N1_FINAL_STATUS.txt,none,codec validation,sampled audit
E-N2,N2,CPU,risk engine,E:\metakv\full_extract_20260903\metakv\method_upgrade_m55\m55n2_true_risk_engine\n2_freeze,M5.5N2_FREEZE_STATUS.txt,pre-freeze working outputs,DDR risk,frozen
E-N3,N3,CPU,representations,E:\metakv\full_extract_20260903\metakv\method_upgrade_m55\m55n3_ha_fbms_synthesis,n3b0_mapping_input_freeze\m55n3b0_summary.json,non-frozen N3 intermediates,representation/mapping,local-search; no global optimum
E-M3D,M3D/M3F/M3G,HBM2,HBM2 corpus and mapping,E:\metakv\full_extract_20260903\metakv\method_upgrade_m55\m55m3_hbm2_fault_maps,authoritative status/summary files per FINAL_EVIDENCE_INVENTORY.csv,superseded M3F initial branch,HBM characterization/transfer,domain-relative comparisons only
E-P1E-5080,P1E,RTX5080,kernel timing,E:\metakv\full_extract_20260903\metakv\method_upgrade_m55\p1_packed_int4\p1e_multiconfig_generality,p1e_summary.csv,live D: P1E directory containing RTX4060Ti data,RTX platform timing,platform locked by audited provenance
E-P1F-4060,P1F,RTX4060Ti,kernel timing,E:\metakv\audit_4060ti_return_20260903\P1F_NV_LOW_4060TI_RETURN_EXTRACTED\results\frozen_p1e_4060ti_output,p1e_summary.csv,none,RTX platform timing,platform locked by audited return package
E-P2C-AMD,P2C,AMD gfx942,kernel timing,E:\metakv\audit_4060ti_return_20260903\AMD_GFX942_FINAL_FREEZE_EXTRACTED\MetaKV_AMD_GFX942_FINAL_FREEZE_20260902_161139\p2c_rocm_performance,p2c_summary.csv,old P2C narrative with wrong H800 label,AMD functional/performance portability,hardware is AMD Instinct MI308X; do not call MI300X
E-H800,P1E,H800,kernel timing,D:\metakv\method_upgrade_m55\output\final_evidence_audit\full_evidence_extract\h800_final_experiments\H800_P1E\freeze\H800_P1E_AUTHORITATIVE_20260903,p1e_summary.csv,H800 R2 retry chain,supplementary platform sensitivity,original authoritative timing retained
E-P6B2,P6B2,CPU/GPU evidence,Llama-3.1-8B; Qwen3-14B,E:\metakv\full_extract_20260903\metakv\method_upgrade_m55,P6B2 corrected Binary32-Z outputs,P6B1 old Binary semantic branch,fault semantics,corrected Binary32-Z only
E-P7,P7A-R1/P7B-R2/P7C/P7D1,GPU/CPU evidence,Qwen3-32B,E:\metakv\full_extract_20260903\metakv\method_upgrade_m55,authoritative repaired outputs,P7B initial comparative branch,32B scale-up/full-cache,P7B-R2 authoritative
